ad_unit,advertising_id,advertising_id_type,user_id,segment,placement,ad_network,AB_Testing,impressions,revenue,appKey,date,import_time
rewarded_video,88d178fc-1ecc-4111-923d-697c4ec2daed,gaid,,,defaultrewardedvideo,admob,A,1,0.003585,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,75145f18-3798-4339-b2e8-d8b2a1494ea7,gaid,,,defaultrewardedvideo,admob,A,1,0.001844,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,ede7c15c-130d-477f-8276-a5ce24f5894c,gaid,,,defaultrewardedvideo,admob,A,3,0.04284,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,f5e3634d-0f04-45b0-b2c8-b3a9239de2ab,gaid,,,defaultrewardedvideo,admob,A,1,0.001035,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,a08ae09f-032b-4e5b-9f81-3b9e282f0c47,gaid,,,defaultrewardedvideo,admob,A,1,0.008105,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,9be49b37-c928-43ea-9583-a5981fc70d0c,gaid,,,defaultrewardedvideo,admob,A,1,0.002645,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,8f5242f5-3bac-4e79-bad0-89ae396aa8e3,gaid,,,defaultrewardedvideo,admob,A,1,0.647619,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,ad9d401f-a06a-4913-b14e-dc7da20ee453,gaid,,,defaultrewardedvideo,admob,A,1,0.009248,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,bbf8a5a8-9071-4109-84e3-6d262585ede3,gaid,,,defaultrewardedvideo,admob,A,2,0.011384,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,00000000-0000-0000-0000-000000000000,gaid,,,defaultrewardedvideo,admob,A,1,0.004477,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,23aa8007-e262-44fd-b362-4e22e6d9cfe4,gaid,,,defaultrewardedvideo,admob,A,1,0.022772,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,54ef1270-c963-44bf-b120-6c27bb0929fa,gaid,,,defaultrewardedvideo,admob,A,1,0.000583,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,50ee9fdc-41da-408c-9ce2-a43c51ef9660,gaid,,,defaultrewardedvideo,admob,A,1,0.001668,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,fce692f1-83d8-4470-80ad-e7d2898c583a,gaid,,,defaultrewardedvideo,admob,A,2,0.043422,19b574ff5,2023-12-20,2023-12-29 17:44:21
