event_timestamp,advertising_id,advertising_vendor_id,user_id,ad_unit,ad_network,instance_name,country,placement,segment,AB_Testing,revenue,facebook_encrypted_cpm,appKey,date,import_time
2023-12-20 12:01:03,8f5242f5-3bac-4e79-bad0-89ae396aa8e3,,,rewarded_video,Meta,Bidding,US,defaultrewardedvideo,,A,0.0,ARGSEJF5pLBSfVD3tQrKe5kmB4YwcQeP_vp2IwHElNVKsNzFtBp8tu8TmySViiOHuNmicOG74h8XKwWaOtNJPQYu7uz-PxIv-b_DVeYZF-TE,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 19:06:13,e85c1189-a239-4616-92c8-ff2664ab3527,,,rewarded_video,Meta,Bidding,US,defaultrewardedvideo,,A,0.0,ARE3fZBgQmeT8Rtf45HuEU94uDdkLap9BfN_tKPEccDSoz7IQgOAKbiTEDU0GUlbpCQJqxbcgnZtfB05gDNu4TN0YWTjOpCDX4lXdGrxKWgB,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 10:02:19,34c4f63a-3d98-47bd-8ee8-a18798f9b2a2,,,rewarded_video,Meta,Bidding,US,defaultrewardedvideo,,A,0.0,ARHgLjN54QpAsrdV5meX42SYNPunqGJdzgmXUzhNZjV7rrrlLyPCbiu_bV3gWrMImcyDyrTcs3bcHAf8Q4L1Zccvm3SD3A1B2X3oQRul-g,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 05:27:36,18420384-1ad0-4265-892b-a8ac14d497a1,,,rewarded_video,Meta,Bidding,VN,defaultrewardedvideo,,A,0.00973,ARGY48TX7IRNoLgfZG48WS63zbNW112eS0c_zBn0eSL7uNlsYCTCjMTSrXq-HybhIVRt2v1pGOkusZ3drZwQxvUFePl5AlbYRzqo6sqD-7K0EBQyqmXZ,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 12:09:44,88d178fc-1ecc-4111-923d-697c4ec2daed,,,rewarded_video,Meta,Bidding,VN,defaultrewardedvideo,,A,0.00973,ARE2Z4rYhGzfdHIylgBmJaaaFNwOoi81SbIjaWYfY-VMqZ8sW2rmzhJ465cPFs6yIkSs3bqrndeLz-HDkZIyEH1fCGp3RA3VQgD0FwEdHqI,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 15:47:14,5163bb7d-95be-42e1-94b4-b046ffdfe0bc,,,rewarded_video,Meta,Bidding,VN,defaultrewardedvideo,,A,0.00973,ARH0dzEA7zru4q9IYq8E_jbjFEoif76EzoSnmLFDJ4eJRxqGCd6QjZHkP33zyBx5XqWgUQt7-ExFhMs_rq1tI9cs8rLm9De2dO6ODqCASSk,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 11:42:55,993917bb-11e8-4154-a457-f7b6429bc183,,,rewarded_video,Meta,Bidding,VN,defaultrewardedvideo,,A,0.00973,ARG-r-vOdN7QZmgsxu6GNs-tY_GdToezQbBzeC3g6Jd2MT1AA8eH66oXqSbYWwbwLlyhBlLylkHNsNiQqPNZAsHk-LkmxGUKsjh3ESi6hPTe30JyWGmjUw,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 05:33:28,18420384-1ad0-4265-892b-a8ac14d497a1,,,rewarded_video,Meta,Bidding,VN,defaultrewardedvideo,,A,0.00973,ARElvoNJvWYs2SEtIWUGXe5abSRwCtH_o3VgyTY0oOOctzZrynbs_mWaYRHn-Wn0QYmDMjR5vdLMLQ-2HvLVA86aaayyKtxc0qhctrleovNj-RG_d5Lq,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 07:56:35,9be49b37-c928-43ea-9583-a5981fc70d0c,,,rewarded_video,Meta,Bidding,VN,defaultrewardedvideo,,A,0.00973,ARFC32r1KWROqI3_SeYYqTgy9BotNdljJtmqrT6NLdMoq1C3fzXGNRi5bNibm-93HNYyPyOELYh3uowH8DwJabgGLTBogdHQaNapMGUWubRTRmxGElDM,19b574ff5,2023-12-20,2023-12-29 17:44:07
2023-12-20 10:58:26,18420384-1ad0-4265-892b-a8ac14d497a1,,,rewarded_video,Meta,Bidding,VN,defaultrewardedvideo,,A,0.00973,ARH_ZcFtdD2jBqZPoII0C40iaOXQQI-veCkvJGoOPMqfECgrS2WquZKTanNAy6GRLTU7y543piTV_1iTJyLlwEtQGC5QN7O3Ne-yAAt2fiqDMsVovrzs4w,19b574ff5,2023-12-20,2023-12-29 17:44:07
